Ordem;Contrato;Família;Item ;Descrição ;Dt Requisição;Requisição;Requisitante;Dt Aprov Requis;Dt Ordem;Dt Pedido;Pedido  ;Ped Emerg.;Prazo Entrega;Dt Nota Fiscal;Dt Rec. Físico  ;Comprador   ;Qtde;Valor ;Fornecedor   ;Cond Pagto;Grupo de Estoque;Unid Medida;Tipo de Material;Situação do Item;Tipo Controle do Item;Departamento;Nro Ordem Investimento
  8081.98;3497;124;1240014;OLEO LUBRIFICANTE HR100EP PETROBRAS                         ;;;0;18/06/2015;08/01/2016;01/10/2013;282;Não;0;14/01/2016;21/01/2016;1951145;14.429,00;5,2;2616;28 - 28 ;10;L ;Material;Ativo   ;Total   ;0;
  8082.01;3396;140;1400467;ELEMENTO FILTRO PI352 PARKER                                ;;;0;18/06/2015;08/01/2016;03/02/2014;280;Não;0;07/01/2016;10/02/2016;1951145;4;6,65;294;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.13;3785;314;3142580;DESLIZADEIRA 3128043000 ATLAS COPCO                         ;;;0;18/06/2015;08/01/2016;10/10/2014;133;Não;0;05/01/2016;21/01/2016;1951145;3;52,5;20804;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.14;3785;412;4120203;ESPACADOR DAM117C21 WEIR                                    ;;;0;18/06/2015;08/01/2016;10/10/2014;133;Não;0;19/01/2016;05/02/2016;1951145;2;136,5;20804;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.16;3785;412;4120232;LUVA EAM076C21 WEIR                                         ;;;0;18/06/2015;08/01/2016;10/10/2014;133;Não;0;02/02/2016;16/02/2016;1951145;4;472,5;20804;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.18;3835;470;4700104;VALVULA GAVETA                                              ;;;0;18/06/2015;08/01/2016;20/01/2015;105;Não;0;17/03/2016;28/03/2016;1951145;2;845;26484;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.19;3835;470;4700274;VALVULA MANGOTE 150 LB/ 2 POL                               ;;;0;18/06/2015;08/01/2016;20/01/2015;105;Não;0;02/05/2016;09/05/2016;1951145;1;2.360,00;26484;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8082.21;3938;590;5900435;ROTULA RADIAL GE70ES2RS SKF                                 ;;;0;18/06/2015;08/01/2016;06/07/2015;1.124;Não;0;19/01/2016;05/02/2016;1951145;2;150,13;2272;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8082.27;2381;Y270105 ;MM002466        ;FILTRO OL COMPR 81649209 SANDVIK                            ;;;0;18/06/2015;08/01/2016;01/10/2012;203;Não;0;13/04/2016;16/05/2016;1951145;2;33,12;4237;28 - 28 ;85;PC;Material;Ativo   ;Total   ;MANUTENCAO MINA                                   ;0
  8081.19;0;261;2610003;BOLA DE ACO 2.1/2 POL.                                      ;;;0;18/06/2015;06/01/2016;06/01/2016;4.227;Não;10;;;1951319;0;5,4;4085;9 - 30 D;10;KG;Material;Ativo   ;Total   ;0;
  2604.80;0;996;9962062;TAPETE                                                      ;04/01/2016;1950216;13.915;05/01/2016;06/01/2016;08/01/2016;4.254;Não;15;;;1951319;0;171;18171;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.81;0;996;9962062;TAPETE                                                      ;04/01/2016;1950216;13.915;05/01/2016;06/01/2016;08/01/2016;4.254;Não;15;;;1951319;0;266;18171;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.82;0;996;9962062;TAPETE                                                      ;04/01/2016;1950216;13.915;05/01/2016;06/01/2016;08/01/2016;4.254;Não;15;;;1951319;0;285;18171;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.83;0;996;9962062;TAPETE                                                      ;04/01/2016;1950216;13.915;05/01/2016;06/01/2016;08/01/2016;4.254;Não;15;;;1951319;0;380;18171;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2605.02;0;996;9961774;PNEU                                                        ;07/01/2015;1950890;14.193;07/01/2016;07/01/2016;07/01/2016;4.242;Sim;5;;;1951319;0;730;1758;28 - 28 ;99;PC;Material;Ativo   ;Débito D;0;
  8082.25;0;Y200026 ;UC001102        ;CAIXA EVAP UNIVERSAL C/4 DIF AR C/MOT VENT 12V              ;;;0;18/06/2015;08/01/2016;18/01/2016;4.474;Não;30;;;1951319;0;370;25114;28 - 28 ;10;PC;Material;Ativo   ;Total   ;MANUTENCAO MINA                                   ;0
  2604.97;0;590;5900400;ROLAMENTO 7315BECBM SKF                                     ;31/12/2015;1951575;13.866;07/01/2016;07/01/2016;07/01/2016;4.239;Não;10;;;1951319;0;799,14;5625;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  2605.17;0;9930;SV000956        ;MANUTENÇAO DE MÁQUINAS E EQUIPAMENTOS                       ;08/01/2016;1999120;14.240;08/01/2016;08/01/2016;08/01/2016;4.256;Não;2;;;1951319;0;4.230,00;16528;9 - 30 D;99;SE;Serviço ;Ativo   ;Débito D;911.022;
